code,name,symptoms,description,test_procedure,medication_desc,medications,symptom_desc,risk_years,less_risk_years,high_risk_race_ethnicity,high_risk_gender,less_risk_race_ethnicity,less_risk_gender
281,Bipolar disorder,"{'Depressive or psychotic symptoms': '64', 'Depression': '62', 'Anxiety and nervousness': '48', 'Insomnia': '21', 'Hostile behavior': '21', 'Delusions or hallucinations': '20', 'Abusing alcohol': '18', 'Drug abuse': '18', 'Excessive anger': '15', 'Temper problems': '13', 'Fears and phobias': '7', 'Obsessions and compulsions': '4'}"," Also known as Manic Depression, Bipolar Affective Disorder, and Bipolar Mood Disorder Bipolar disorder (also known as bipolar affective disorder, manic-depressive disorder, or manic depression) is a psychiatric diagnosis for a mood disorder. Individuals with bipolar disorder experience episodes of a frenzied state known as mania, typically alternating with episodes of depression. Source: Wikipedia,Patients with bipolar disorder often receive psychotherapy, mental health counseling, toxicology screen, depression screen, blood alcohol, psychological and psychiatric evaluation and therapy, occupational therapy assessment and electroencephalogram (eeg) .","['Psychotherapy', 'Mental health counseling', 'Toxicology screen', 'Depression screen (Depression screening)', 'Blood alcohol', 'Psychological and psychiatric evaluation and therapy', 'Occupational therapy assessment (Speech therapy)', 'Electroencephalogram (EEG) (Eeg)']","The most commonly prescribed drugs for patients with bipolar disorder include quetiapine (seroquel), lamotrigine (lamictal), divalproex sodium (depakote), lithium (li), aripiprazole (abilify), clonazepam, risperidone, bupropion (wellbutrin), olanzapine (zyprexa), ziprasidone (geodon), benztropine, oxcarbazepine (trileptal) and haloperidol .","['Quetiapine (Seroquel)', 'Lamotrigine (Lamictal)', 'Divalproex Sodium (Depakote)', 'Lithium (Li)', 'Aripiprazole (Abilify)', 'Clonazepam', 'Risperidone', 'Bupropion (Wellbutrin)', 'Olanzapine (Zyprexa)', 'Ziprasidone (Geodon)', 'Benztropine', 'Oxcarbazepine (Trileptal)', 'Haloperidol']","Within all the people who go to their doctor with bipolar disorder, 64% report having depressive or psychotic symptoms, 62% report having depression, and 48% report having anxiety and nervousness. The symptoms that are highly suggestive of bipolar disorder are hostile behavior, excessive anger, and obsessions and compulsions, although you may still have bipolar disorder without those symptoms.","['30-44', '45-59']","['1-4', '< 1']",['NA'],['NA'],['NA'],['NA']
282,Amyloidosis,"{'Shortness of breath': '72', 'Fatigue': '43', 'Anxiety and nervousness': '43', 'Symptoms of the kidneys': '43', 'Congestion in chest': '43', 'Fever': '43', 'Weakness': '43', 'Abnormal appearing skin': '43', 'Wrist weakness': '3', 'Nailbiting': '3', 'Eye strain': '3', 'Feeling hot and cold': '3'}"," Also known as Amyloid Disease In medicine, amyloidosis refers to a variety of conditions wherein normally soluble proteins become insoluble and are deposited in the extracellular space of various organs or tissues, disrupting normal function. The insoluble fibrous protein aggregates that develop in amyloidosis are known as amyloids. They result from a change in the protein's secondary structure, which causes the protein to take on a particular aggregated insoluble form, similar to the beta-pleated sheet. Symptoms vary widely depending upon where in the body amyloid deposits accumulate. Amyloidosis may be inherited or acquired. Senile systemic amyloidosis was determined to be the primary cause of death for 70% of supercentenarians who have been autopsied. Source: Wikipedia,Patients with amyloidosis often receive hematologic tests, human papillomavirus dna detection, traction; splints; and other wound care, chlamydia test, corneal transplant, procedures on spleen, removal of ectopic pregnancy and tracheostomy; temporary and permanent .","['Hematologic tests (Blood test)', 'Human papillomavirus DNA detection', 'Traction; splints; and other wound care', 'Chlamydia test', 'Corneal transplant', 'Procedures on spleen (Spleen operation)', 'Removal of ectopic pregnancy', 'Tracheostomy; temporary and permanent']","The most commonly prescribed drugs for patients with amyloidosis include furosemide, thyroxine (synthroid), melphalan, dexamethasone, ezetimibe (zetia), citalopram (celexa), pantoprazole, sodium hypochlorite topical, hydrochlorothiazide / spironolactone, tazarotene topical, fludrocortisone, hydrocortisone and rituximab .","['Furosemide', 'Thyroxine (Synthroid)', 'Melphalan', 'Dexamethasone', 'Ezetimibe (Zetia)', 'Citalopram (Celexa)', 'Pantoprazole', 'Sodium Hypochlorite Topical', 'Tazarotene Topical', 'Fludrocortisone', 'Hydrocortisone', 'Rituximab']","Within all the people who go to their doctor with amyloidosis, 72% report having shortness of breath, 43% report having symptoms of the kidneys, and 43% report having congestion in chest. The symptoms that are highly suggestive of amyloidosis are symptoms of the kidneys, congestion in chest, wrist weakness, nailbiting, eye strain, and feeling hot and cold, although you may still have amyloidosis without those symptoms.","['75+', '60-74']",['15-29'],['NA'],['NA'],['hispanic'],['NA']
283,Chronic inflammatory demyelinating polyneuropathy (CIDP),"{'Loss of sensation': '78', 'Weakness': '67', 'Problems with movement': '53', 'Leg weakness': '53', 'Leg cramps or spasms': '27', 'Abnormal involuntary movements': '27', 'Facial pain': '27', 'Fatigue': '27', 'Hand or finger weakness': '27', 'Focal weakness': '27', 'Dizziness': '27', 'Leg pain': '27'}"," Also known as CIDP Chronic inflammatory demyelinating polyneuropathy (CIDP) is an acquired immune-mediated inflammatory disorder of the peripheral nervous system. The disorder is sometimes called chronic relapsing polyneuropathy or chronic inflammatory demyelinating polyradiculoneuropathy (because it involves the nerve roots). CIDP is closely related to Guillain-Barré syndrome and it is considered the chronic counterpart of that acute disease. Its symptoms are also similar to progressive inflammatory neuropathy. An asymmetrical variant of CIDP is known as Lewis-Sumner syndrome. Source: Wikipedia,Patients with chronic inflammatory demyelinating polyneuropathy (cidp) often receive hematologic tests, complete blood count, other diagnostic procedures (interview; evaluation; consultation), examination of foot, electroencephalogram (eeg), other therapeutic procedures, corneal transplant and procedures on spleen .","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Examination of foot', 'Electroencephalogram (EEG) (Eeg)', 'Other therapeutic procedures', 'Corneal transplant', 'Procedures on spleen (Spleen operation)']","The most commonly prescribed drugs for patients with chronic inflammatory demyelinating polyneuropathy (cidp) include immunoglobulins, intravenous (gammagard), gabapentin, azathioprine, vitamin b 12, amitriptyline, triamcinolone, ergocalciferol, intramuscular immunoglobulin (baygam), indapamide, glatiramer (copaxone), piroxicam, selenium sulfide topical and pramipexole (mirapex) .","['Immunoglobulins, Intravenous (Gammagard)', 'Gabapentin', 'Azathioprine', 'Vitamin B 12', 'Amitriptyline', 'Triamcinolone', 'Ergocalciferol', 'Intramuscular Immunoglobulin (Baygam)', 'Indapamide', 'Glatiramer (Copaxone)', 'Piroxicam', 'Selenium Sulfide Topical', 'Pramipexole (Mirapex)']","Within all the people who go to their doctor with chronic inflammatory demyelinating polyneuropathy (cidp), 78% report having loss of sensation, 67% report having weakness, and 53% report having leg weakness. The symptoms that are highly suggestive of chronic inflammatory demyelinating polyneuropathy (cidp) are loss of sensation, weakness, problems with movement, leg weakness, leg cramps or spasms, hand or finger weakness, and focal weakness, although you may still have chronic inflammatory demyelinating polyneuropathy (cidp) without those symptoms.","['60-74', '45-59']","['5-14', '1-4']",['NA'],['male'],['other'],['NA']
284,Gastroesophageal reflux disease (GERD),"{'Sharp chest pain': '44', 'Sharp abdominal pain': '43', 'Vomiting': '33', 'Heartburn': '33', 'Cough': '33', 'Nausea': '28', 'Burning abdominal pain': '21', 'Upper abdominal pain': '16', 'Difficulty in swallowing': '16', 'Regurgitation': '13', 'Chest tightness': '11', 'Hoarse voice': '10'}"," Also known as Reflux and GERD Gastroesophageal reflux disease (GERD), gastro-oesophageal reflux disease (GORD), gastric reflux disease, or acid reflux disease is a chronic symptom of mucosal damage caused by stomach acid coming up from the stomach into the esophagus. Source: Wikipedia,Patients with gastroesophageal reflux disease (gerd) often receive electrocardiogram, lipid panel, other diagnostic procedures (interview; evaluation; consultation), hemoglobin a1c measurement, sigmoidoscopy or colonoscopy, upper gastrointestinal endoscopy; biopsy, rectal examination and mammography .","['Electrocardiogram', 'Lipid panel', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Sigmoidoscopy or colonoscopy', 'Upper gastrointestinal endoscopy; biopsy', 'Rectal examination', 'Mammography (Mammogram)']","The most commonly prescribed drugs for patients with gastroesophageal reflux disease (gerd) include omeprazole, esomeprazole (nexium), ranitidine, lansoprazole (prevacid), pantoprazole, aluminum hydroxide / magnesium hydroxide, rabeprazole (aciphex), atropine / hyoscyamine / phenobarbital / scopolamine, sucralfate (carafate), dexlansoprazole (dexilant), nizatidine (axid), trandolapril / verapamil and aluminum hydroxide (m.a.h.) .","['Omeprazole', 'Esomeprazole (Nexium)', 'Ranitidine', 'Lansoprazole (Prevacid)', 'Pantoprazole', 'Rabeprazole (Aciphex)', 'Sucralfate (Carafate)', 'Dexlansoprazole (Dexilant)', 'Nizatidine (Axid)', 'Aluminum Hydroxide (M.A.H.)']","Within all the people who go to their doctor with gastroesophageal reflux disease (gerd), 44% report having sharp chest pain, 43% report having sharp abdominal pain, and 33% report having vomiting. The symptoms that are highly suggestive of gastroesophageal reflux disease (gerd) are heartburn, although you may still have gastroesophageal reflux disease (gerd) without those symptoms.",['< 1'],['NA'],['NA'],['NA'],['NA'],['NA']
285,Vitreous hemorrhage,"{'Diminished vision': '83', 'Spots or clouds in vision': '72', 'Blindness': '40', 'Symptoms of eye': '35', 'Pain in eye': '30', 'Bleeding from eye': '30', 'Lacrimation': '10'}"," Vitreous hemorrhage is the extravasation, or leakage, of blood into the areas in and around the vitreous humor of the eye. The vitreous humor is the clear gel that fills the space between the lens and the retina of the eye. A variety of conditions can result in blood leaking into the vitreous humor, which can cause impaired vision, floaters, and photopsia. Source: Wikipedia,Patients with vitreous hemorrhage often receive ophthalmic examination and evaluation, other therapeutic procedures on eyelids; conjunctiva; cornea, repair of retinal tear; detachment, other intraocular therapeutic procedures, excision, other extraocular muscle and orbit therapeutic procedures, ophthalmologic and otologic diagnosis and treatment and other therapeutic procedures .","['Ophthalmic examination and evaluation (Eye exam)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Repair of retinal tear; detachment', 'Other intraocular therapeutic procedures', 'Excision (Removal)', 'Other extraocular muscle and orbit therapeutic procedures', 'Ophthalmologic and otologic diagnosis and treatment', 'Other therapeutic procedures']","The most commonly prescribed drugs for patients with vitreous hemorrhage include prednisolone ophthalmic, tropicamide ophthalmic, phenylephrine (duramax), brimonidine ophthalmic, moxifloxacin (avelox), bevacizumab (avastin), ranibizumab ophthalmic, gatifloxacin (zymar), benoxinate-fluorescein ophthalmic, homatropine ophthalmic, brimonidine-timolol ophthalmic, cyclopentolate ophthalmic and atropine (uaa) .","['Prednisolone Ophthalmic', 'Tropicamide Ophthalmic', 'Phenylephrine (Duramax)', 'Brimonidine Ophthalmic', 'Moxifloxacin (Avelox)', 'Bevacizumab (Avastin)', 'Ranibizumab Ophthalmic', 'Gatifloxacin (Zymar)', 'Benoxinate-Fluorescein Ophthalmic', 'Homatropine Ophthalmic', 'Brimonidine-Timolol Ophthalmic', 'Cyclopentolate Ophthalmic', 'Atropine (Uaa)']","Within all the people who go to their doctor with vitreous hemorrhage, 83% report having diminished vision, 72% report having spots or clouds in vision, and 40% report having blindness. The symptoms that are highly suggestive of vitreous hemorrhage are diminished vision, spots or clouds in vision, blindness, symptoms of eye, and bleeding from eye, although you may still have vitreous hemorrhage without those symptoms.","['75+', '60-74', '45-59']",['< 1'],['NA'],['NA'],['NA'],['NA']
286,Poisoning due to antimicrobial drugs,"{'Skin rash': '83', 'Allergic reaction': '62', 'Problems with movement': '51', 'Abnormal involuntary movements': '43', 'Vomiting': '43', 'Nausea': '43', 'Posture problems': '43', 'Shortness of breath': '33', 'Depressive or psychotic symptoms': '33', 'Paresthesia': '33', 'Cough': '33', 'Peripheral edema': '20'}"," Poisoning due to antimicrobial drugs is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with poisoning due to antimicrobial drugs often receive hematologic tests, complete blood count, intravenous fluid replacement, electrolytes panel, kidney function tests, occupational therapy assessment, physical therapy exercises and toxicology screen .","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Intravenous fluid replacement', 'Electrolytes panel', 'Kidney function tests (Kidney function test)', 'Occupational therapy assessment (Speech therapy)', 'Physical therapy exercises (Exercises)', 'Toxicology screen']","The most commonly prescribed drugs for patients with poisoning due to antimicrobial drugs include diphenhydramine (benadryl), prednisone, methylprednisolone (medrol), hydroxyzine, famotidine, ranitidine, bupropion (wellbutrin), epinephrine, clindamycin, prochlorperazine (compro), nicardipine, levonorgestrel and nalbuphine (nubain) .","['Diphenhydramine (Benadryl)', 'Prednisone', 'Methylprednisolone (Medrol)', 'Hydroxyzine', 'Famotidine', 'Ranitidine', 'Bupropion (Wellbutrin)', 'Epinephrine', 'Clindamycin', 'Prochlorperazine (Compro)', 'Nicardipine', 'Levonorgestrel', 'Nalbuphine (Nubain)']","Within all the people who go to their doctor with poisoning due to antimicrobial drugs, 83% report having skin rash, 62% report having allergic reaction, and 51% report having problems with movement. The symptoms that are highly suggestive of poisoning due to antimicrobial drugs are skin rash, allergic reaction, problems with movement, abnormal involuntary movements, and posture problems, although you may still have poisoning due to antimicrobial drugs without those symptoms.","['1-4', '15-29', '< 1']",['NA'],['NA'],['NA'],['NA'],['NA']
287,Open wound of the mouth,"{'Tongue lesions': '31', 'Toothache': '27', 'Seizures': '23', 'Lip swelling': '18', 'Bleeding in mouth': '18', 'Tongue bleeding': '18', 'Mouth pain': '13', 'Peripheral edema': '13', 'Neck swelling': '7', 'Gum pain': '7', 'Sneezing': '7', 'Mouth ulcer': '7'}"," Open wound of the mouth is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with open wound of the mouth often receive suturing of wound, wound care management, x-ray computed tomography, cat scan of head, other therapeutic procedures, treatment; facial fracture or dislocation, other non-or therapeutic procedures on nose; mouth and pharynx and nonoperative removal of foreign body .","['Suturing of wound', 'Wound care management', 'X-ray computed tomography (Scan ct)', 'CAT scan of head (Head ct)', 'Other therapeutic procedures', 'Treatment; facial fracture or dislocation', 'Other non-OR therapeutic procedures on nose; mouth and pharynx', 'Nonoperative removal of foreign body']","The most commonly prescribed drugs for patients with open wound of the mouth include clindamycin, chlorhexidine topical, ketamine, atropine (uaa), hydrogen peroxide topical, fosphenytoin, glycopyrrolate and cortisone .","['Clindamycin', 'Chlorhexidine Topical', 'Ketamine', 'Atropine (Uaa)', 'Hydrogen Peroxide Topical', 'Fosphenytoin', 'Glycopyrrolate', 'Cortisone']","Within all the people who go to their doctor with open wound of the mouth, 31% report having tongue lesions, 27% report having toothache, and 23% report having seizures. The symptoms that are highly suggestive of open wound of the mouth are tongue lesions, lip swelling, bleeding in mouth, tongue bleeding, mouth pain, and neck swelling, although you may still have open wound of the mouth without those symptoms.","['5-14', '1-4']",['NA'],['black'],['NA'],['NA'],['NA']
288,Scleroderma,"{'Skin lesion': '53', 'Skin rash': '53', 'Skin dryness peeling scaliness or roughness': '42', 'Abnormal appearing skin': '35', 'Itching of skin': '32', 'Skin growth': '30', 'Lip swelling': '15', 'Skin irritation': '13', 'Warts': '13', 'Feeling ill': '10', 'Irregular appearing scalp': '10', 'Acne or pimples': '10'}"," Also known as Dermatosclerosis Scleroderma is a chronic systemic autoimmune disease (primarily of the skin -""derma"") characterized by fibrosis (or hardening -""sclero""), vascular alterations, and autoantibodies. There are two major forms: Source: Wikipedia,Patients with scleroderma often receive complete physical skin exam performed (ml), excision, wound care management, biopsy, pelvis exam, other diagnostic procedures (interview; evaluation; consultation), excision of skin lesion and examination of breast .","['Complete physical skin exam performed (ML)', 'Excision (Removal)', 'Wound care management', 'Biopsy', 'Pelvis exam', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Excision of skin lesion', 'Examination of breast']","The most commonly prescribed drugs for patients with scleroderma include clobetasol topical, hydrocortisone topical, lactic acid topical, urea topical, petrolatum topical, mycophenolate mofetil (cellcept), desonide topical, tretinoin topical, fluocinolone topical, salicylic acid topical, terbinafine topical, candesartan (atacand) and fluocinonide topical .","['Clobetasol Topical', 'Hydrocortisone Topical', 'Lactic Acid Topical', 'Urea Topical', 'Petrolatum Topical', 'Mycophenolate Mofetil (Cellcept)', 'Desonide Topical', 'Tretinoin Topical', 'Fluocinolone Topical', 'Salicylic Acid Topical', 'Terbinafine Topical', 'Candesartan (Atacand)', 'Fluocinonide Topical']","Within all the people who go to their doctor with scleroderma, 53% report having skin lesion, 53% report having skin rash, and 42% report having skin dryness, peeling, scaliness, or roughness. The symptoms that are highly suggestive of scleroderma are skin dryness, peeling, scaliness, or roughness, skin growth, lip swelling, skin irritation, and irregular appearing scalp, although you may still have scleroderma without those symptoms.","['75+', '60-74']",['NA'],['NA'],['NA'],['NA'],['NA']
289,Myasthenia gravis,"{'Double vision': '50', 'Weakness': '48', 'Fatigue': '36', 'Abnormal movement of eyelid': '28', 'Dizziness': '28', 'Focal weakness': '28', 'Headache': '24', 'Shortness of breath': '24', 'Diminished vision': '24', 'Slurring words': '19', 'Arm weakness': '14', 'Coughing up sputum': '14'}"," Also known as MG Myasthenia gravis (from Greek μύς ""muscle"", ἀσθένεια ""weakness"", and Latin: gravis ""serious""; abbreviated MG) is an autoimmune neuromuscular disease leading to fluctuating muscle weakness and fatigability. It is an autoimmune disorder, in which weakness is caused by circulating antibodies that block acetylcholine receptors at the postsynaptic neuromuscular junction, inhibiting the excitatory effects of the neurotransmitter acetylcholine on nicotinic receptors throughout neuromuscular junctions. Source: Wikipedia,Patients with myasthenia gravis often receive hematologic tests, other diagnostic procedures (interview; evaluation; consultation), magnetic resonance imaging, hemoglobin a1c measurement, lipid panel, bone density scan, ophthalmic examination and evaluation and microscopic examination (bacterial smear; culture; toxicology) .","['Hematologic tests (Blood test)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Magnetic resonance imaging (Mri)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Lipid panel', 'Bone density scan', 'Ophthalmic examination and evaluation (Eye exam)', 'Microscopic examination (bacterial smear; culture; toxicology)']","The most commonly prescribed drugs for patients with myasthenia gravis include pyridostigmine (mestinon), prednisone, azathioprine, mycophenolate mofetil (cellcept), vitamin b 12, neostigmine, dexamethasone, nabumetone, immunoglobulins, intravenous (gammagard), methimazole, cyclosporine, bumetanide and hyoscyamine (a-spas) .","['Pyridostigmine (Mestinon)', 'Prednisone', 'Azathioprine', 'Mycophenolate Mofetil (Cellcept)', 'Vitamin B 12', 'Neostigmine', 'Dexamethasone', 'Nabumetone', 'Immunoglobulins, Intravenous (Gammagard)', 'Methimazole', 'Cyclosporine', 'Bumetanide', 'Hyoscyamine (A-Spas)']","Within all the people who go to their doctor with myasthenia gravis, 50% report having double vision, 48% report having weakness, and 36% report having fatigue. The symptoms that are highly suggestive of myasthenia gravis are double vision, abnormal movement of eyelid, focal weakness, slurring words, and arm weakness, although you may still have myasthenia gravis without those symptoms.","['75+', '60-74']",['NA'],['NA'],['NA'],['NA'],['NA']
290,Hypoglycemia,"{'Depressive or psychotic symptoms': '49', 'Weakness': '45', 'Dizziness': '39', 'Fainting': '27', 'Nausea': '25', 'Seizures': '21', 'Abnormal involuntary movements': '17', 'Decreased appetite': '14', 'Feeling ill': '13', 'Sweating': '11', 'Sleepiness': '10', 'Problems with movement': '9'}"," Also known as Low Blood Sugar Level Hypoglycemia (also spelled hypoglycaemia or hypoglycæmia, not to be confused with hyperglycemia) is an abnormally diminished content of glucose in the blood. The term literally means ""low sugar blood"" (Gr. ὑπογλυκαιμία, from hypo-, glykys, haima). It can produce a variety of symptoms and effects but the principal problems arise from an inadequate supply of glucose to the brain, resulting in impairment of function (neuroglycopenia). Effects can range from mild dysphoria to more serious issues such as seizures, unconsciousness, and (rarely) permanent brain damage or death. Source: Wikipedia,Patients with hypoglycemia often receive hematologic tests, glucose measurement, complete blood count, kidney function tests, intravenous fluid replacement, electrolytes panel, electrocardiogram and urinalysis .","['Hematologic tests (Blood test)', 'Glucose measurement (Glucose level)', 'Complete blood count (Cbc)', 'Kidney function tests (Kidney function test)', 'Intravenous fluid replacement', 'Electrolytes panel', 'Electrocardiogram', 'Urinalysis']","The most commonly prescribed drugs for patients with hypoglycemia include glucagon, sodium polystyrene sulfonate (kayexalate), dopamine, adenosine, octreotide, vecuronium, phenazopyridine / sulfamethoxazole, corn starch topical, lvp solution, diazoxide, urofollitropin (bravelle), pancuronium and acetaminophen / chlorpheniramine / pseudoephedrine .","['Glucagon', 'Sodium Polystyrene Sulfonate (Kayexalate)', 'Dopamine', 'Adenosine', 'Octreotide', 'Vecuronium', 'Corn Starch Topical', 'Lvp Solution', 'Diazoxide', 'Urofollitropin (Bravelle)', 'Pancuronium']","Within all the people who go to their doctor with hypoglycemia, 49% report having depressive or psychotic symptoms, 45% report having weakness, and 39% report having dizziness.","['75+', '60-74']",['NA'],['NA'],['NA'],['NA'],['NA']
291,Idiopathic absence of menstruation,"{'Absence of menstruation': '78', 'Sharp abdominal pain': '36', 'Unpredictable menstruation': '36', 'Nausea': '24', 'Pelvic pain': '20', 'Long menstrual periods': '18', 'Vaginal discharge': '16', 'Lower abdominal pain': '16', 'Pain or soreness of breast': '11', 'Weight gain': '9', 'Vaginal itching': '9', 'Heartburn': '6'}"," Idiopathic absence of menstruation is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with idiopathic absence of menstruation often receive hematologic tests, pelvis exam, standard pregnancy test, urinalysis, examination of breast, ultrasonography, chlamydia test and lipid panel .","['Hematologic tests (Blood test)', 'Pelvis exam', 'Standard pregnancy test', 'Urinalysis', 'Examination of breast', 'Ultrasonography (Ultrasound)', 'Chlamydia test', 'Lipid panel']","The most commonly prescribed drugs for patients with idiopathic absence of menstruation include medroxyprogesterone, ortho cyclen, progesterone, nonoxynol 9 topical, modicon, terconazole topical, multivitamin, prenatal, clomiphene (clomid), metronidazole topical product, human chorionic gonadotropin (hcg), miconazole topical product, dexfenfluramine (redux) and norgestrel .","['Medroxyprogesterone', 'Ortho Cyclen', 'Progesterone', 'Nonoxynol 9 Topical', 'Modicon', 'Terconazole Topical', 'Multivitamin, Prenatal', 'Clomiphene (Clomid)', 'Metronidazole Topical Product', 'Human Chorionic Gonadotropin (Hcg)', 'Miconazole Topical Product', 'Dexfenfluramine (Redux)', 'Norgestrel']","Within all the people who go to their doctor with idiopathic absence of menstruation, 78% report having absence of menstruation, 36% report having unpredictable menstruation, and 36% report having sharp abdominal pain. The symptoms that are highly suggestive of idiopathic absence of menstruation are absence of menstruation, unpredictable menstruation, and long menstrual periods, although you may still have idiopathic absence of menstruation without those symptoms.",['15-29'],"['75+', '60-74', '1-4', '< 1']",['hispanic'],['female'],['NA'],['male']
292,Dislocation of the ankle,"{'Ankle pain': '86', 'Ankle swelling': '56', 'Foot or toe pain': '38', 'Eye strain': '3', 'Elbow weakness': '3', 'Elbow cramps or spasms': '3', 'Wrist weakness': '3', 'Feeling hot and cold': '3', 'Low back weakness': '3', 'Underweight': '3', 'Emotional symptoms': '3', 'Muscle swelling': '3'}"," Also known as Ankle Dislocation and Dislocated Ankle A joint dislocation, or luxation, occurs when there is an abnormal separation in the joint, where two or more bones meet. A partial dislocation is referred to as a subluxation. Dislocations are often caused by sudden trauma on the joint like an impact or fall. A joint dislocation can cause damage to the surrounding ligaments, tendons, muscles, and nerves. Dislocations can occur in any joint major (Shoulder, knees, etc.) or minor (toes, fingers, etc.). The most common joint dislocation is a shoulder dislocation. Source: Wikipedia,Patients with dislocation of the ankle often receive radiographic imaging procedure, plain x-ray, application of splint, intravenous fluid replacement, cardiac monitoring, psychological and psychiatric evaluation and therapy, traction; splints; and other wound care and examination of foot .","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Application of splint (Splinting)', 'Intravenous fluid replacement', 'Cardiac monitoring (Cardiac monitor)', 'Psychological and psychiatric evaluation and therapy', 'Traction; splints; and other wound care', 'Examination of foot']","The most common joint dislocation is a shoulder dislocation. Source: Wikipedia,Patients with dislocation of the ankle often receive radiographic imaging procedure, plain x-ray, application of splint, intravenous fluid replacement, cardiac monitoring, psychological and psychiatric evaluation and therapy, traction; splints; and other wound care and examination of foot .",[],"[{""commonMedications"":""Percocet""},{""commonMedications"":""Fentanyl""},{""commonMedications"":""Hydromorphone (Dilaudid)""},{""commonMedications"":""Morphine (Rms)""},{""commonMedications"":""Glucosamine""},{""commonMedications"":""Propofol""},{""commonMedications"":""Cefazolin""},{""commonMedications"":""Midazolam (Versed)""},{""commonMedications"":""Mecamylamine""},{""commonMedications"":""Grepafloxacin (Raxar)""},{""commonMedications"":""Malathion Topical""}",['NA'],['NA'],['NA'],['NA'],['NA'],['NA']
293,Carbon monoxide poisoning,"{'Headache': '81', 'Nausea': '72', 'Dizziness': '53', 'Vomiting': '42', 'Diarrhea': '27', 'Depressive or psychotic symptoms': '27', 'Sleepiness': '27', 'Frontal headache': '27', 'Fainting': '27', 'Low back weakness': '2', 'Emotional symptoms': '2', 'Elbow cramps or spasms': '2'}"," Also known as Carbon Monoxide Toxicity Carbon monoxide poisoning occurs after enough inhalation of carbon monoxide (CO). Carbon monoxide is a toxic gas, but, being colorless, odorless, tasteless, and initially non-irritating, it is very difficult for people to detect. Carbon monoxide is a product of incomplete combustion of organic matter due to insufficient oxygen supply to enable complete oxidation to carbon dioxide (CO2). It is often produced in domestic or industrial settings by older motor vehicles and other gasoline-powered tools, heaters, and cooking equipment. Exposures at 100 ppm or greater can be dangerous to human health. Source: Wikipedia,Patients with carbon monoxide poisoning often receive hematologic tests, arterial blood gases (abgs), glucose measurement, electrocardiogram, kidney function tests, cardiac enzymes measurement, blood alcohol and toxicology screen .","['Hematologic tests (Blood test)', 'Arterial blood gases (ABGs)', 'Glucose measurement (Glucose level)', 'Electrocardiogram', 'Kidney function tests (Kidney function test)', 'Cardiac enzymes measurement (Cardiac enzymes test)', 'Blood alcohol', 'Toxicology screen']","The most commonly prescribed drugs for patients with carbon monoxide poisoning include oxygen, simethicone (degas), chlorpheniramine / phenindamine / phenylpropanolamine, mecamylamine, grepafloxacin (raxar), malathion topical, gemtuzumab (mylotarg), gadoteridol (prohance), carbinoxamine / dextromethorphan / phenylephrine, devil's claw preparation, isocarboxazid (marplan), medrysone ophthalmic and magnesium lactate .","['Oxygen', 'Simethicone (Degas)', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)', 'Gadoteridol (Prohance)', ""Devil'S Claw Preparation"", 'Isocarboxazid (Marplan)', 'Medrysone Ophthalmic', 'Magnesium Lactate']","Within all the people who go to their doctor with carbon monoxide poisoning, 81% report having headache, 72% report having nausea, and 53% report having dizziness. The symptoms that are highly suggestive of carbon monoxide poisoning are frontal headache, low back weakness, emotional symptoms, and elbow cramps or spasms, although you may still have carbon monoxide poisoning without those symptoms.","['5-14', '1-4']","['75+', '60-74']",['black'],['NA'],['NA'],['NA']
