code,name,symptoms
57,Acute pancreatitis,"{'Sharp abdominal pain': '89', 'Vomiting': '72', 'Nausea': '65', 'Upper abdominal pain': '49', 'Diarrhea': '38', 'Sharp chest pain': '37', 'Burning abdominal pain': '30', 'Back pain': '25', 'Side pain': '19', 'Abusing alcohol': '14', 'Lower body pain': '11', 'Hemoptysis': '6'}"
58,Thrombophlebitis,"{'Leg pain': '70', 'Leg swelling': '40', 'Arm pain': '31', 'Abnormal appearing skin': '29', 'Arm swelling': '29', 'Foot or toe pain': '27', 'Ache all over': '24', 'Lymphedema': '22', 'Skin on leg or foot looks infected': '14', 'Skin swelling': '11', 'Leg cramps or spasms': '11', 'Hand or finger swelling': '11'}"
59,Asthma,"{'Cough': '74', 'Shortness of breath': '61', 'Wheezing': '55', 'Difficulty breathing': '45', 'Nasal congestion': '39', 'Fever': '36', 'Sharp chest pain': '25', 'Coryza': '21', 'Chest tightness': '14', 'Allergic reaction': '11', 'Coughing up sputum': '8', 'Congestion in chest': '8'}"
60,Foreign body in the vagina,"{'Vaginal discharge': '54', 'Pelvic pain': '22', 'Painful urination': '22', 'Lower abdominal pain': '22', 'Skin lesion': '22', 'Back weakness': '1', 'Pus in sputum': '1', 'Emotional symptoms': '1', 'Muscle swelling': '1', 'Pus in urine': '1', 'Abnormal size or shape of ear': '1', 'Low back weakness': '1'}"
61,Restless leg syndrome,"{'Abnormal involuntary movements': '77', 'Leg pain': '49', 'Headache': '39', 'Sleepiness': '37', 'Apnea': '33', 'Fatigue': '32', 'Abnormal breathing sounds': '32', 'Depression': '29', 'Back pain': '25', 'Difficulty breathing': '25', 'Loss of sensation': '25', 'Insomnia': '25'}"
62,Emphysema,"{'Sharp chest pain': '89', 'Shortness of breath': '69', 'Chest tightness': '69', 'Cough': '51', 'Nausea': '51', 'Ache all over': '51', 'Back pain': '51', 'Cross-eyed': '4', 'Itchy eyelid': '4', 'Excessive growth': '4', 'Emotional symptoms': '4', 'Elbow cramps or spasms': '4'}"
63,Cysticercosis,"{'Seizures': '90', 'Headache': '87', 'Vomiting': '43', 'Shortness of breath': '43', 'Abnormal involuntary movements': '43', 'Elbow cramps or spasms': '3', 'Elbow weakness': '3', 'Excessive growth': '3', 'Underweight': '3', 'Low back weakness': '3', 'Wrist weakness': '3', 'Feeling hot and cold': '3'}"
64,Induced abortion,"{'Spotting or bleeding during pregnancy': '67', 'Sharp abdominal pain': '59', 'Pain during pregnancy': '54', 'Cramps and spasms': '38', 'Lower abdominal pain': '31', 'Pelvic pain': '27', 'Problems during pregnancy': '27', 'Intermenstrual bleeding': '27', 'Vaginal discharge': '13', 'Blood clots during menstrual periods': '7', 'Groin pain': '7', 'Absence of menstruation': '7'}"
65,Teething syndrome,"{'Fever': '82', 'Pulling at ears': '65', 'Cough': '65', 'Irritable infant': '65', 'Nasal congestion': '63', 'Diarrhea': '46', 'Ear pain': '40', 'Gum pain': '40', 'Symptoms of infants': '38', 'Temper problems': '34', 'Redness in ear': '27', 'Decreased appetite': '23'}"
66,Infectious gastroenteritis,"{'Vomiting': '91', 'Diarrhea': '89', 'Nausea': '72', 'Sharp abdominal pain': '68', 'Fever': '62', 'Burning abdominal pain': '38', 'Headache': '24', 'Blood in stool': '21', 'Decreased appetite': '16', 'Chills': '13', 'Fluid retention': '12', 'Flu-like syndrome': '11'}"
67,Acute sinusitis,"{'Cough': '81', 'Nasal congestion': '75', 'Sore throat': '66', 'Headache': '66', 'Frontal headache': '56', 'Coryza': '52', 'Fever': '51', 'Ear pain': '49', 'Sinus congestion': '37', 'Painful sinuses': '29', 'Facial pain': '26', 'Coughing up sputum': '23'}"
68,Von Hippel-Lindau disease,"{'Seizures': '49', 'Upper abdominal pain': '32', 'Excessive growth': '32', 'Abnormal appearing skin': '32', 'Headache': '32', 'Blood in urine': '32', 'Paresthesia': '32', 'Diminished vision': '32', 'Knee pain': '32', 'Fatigue': '32', 'Nausea': '32', 'Kidney mass': '32'}"
69,Substance-related mental disorder,"{'Depressive or psychotic symptoms': '83', 'Delusions or hallucinations': '58', 'Depression': '52', 'Anxiety and nervousness': '52', 'Drug abuse': '46', 'Abusing alcohol': '23', 'Insomnia': '23', 'Feeling ill': '18', 'Excessive anger': '13', 'Problems with movement': '13', 'Hostile behavior': '13', 'Fears and phobias': '13'}"
70,Postpartum depression,"{'Depression': '57', 'Recent pregnancy': '33', 'Problems during pregnancy': '33', 'Anxiety and nervousness': '30', 'Pain during pregnancy': '25', 'Depressive or psychotic symptoms': '24', 'Drug abuse': '12', 'Spotting or bleeding during pregnancy': '12', 'Uterine contractions': '10', 'Delusions or hallucinations': '10', 'Intermenstrual bleeding': '5', 'Excessive anger': '3'}"
71,Coronary atherosclerosis,"{'Sharp chest pain': '55', 'Shortness of breath': '41', 'Fatigue': '20', 'Chest tightness': '18', 'Palpitations': '12', 'Irregular heartbeat': '5', 'Lymphedema': '5', 'Leg cramps or spasms': '3', 'Burning chest pain': '2'}"
72,Spondylitis,"{'Back pain': '88', 'Low back pain': '83', 'Leg pain': '47', 'Neck pain': '45', 'Hip pain': '29', 'Side pain': '21', 'Back cramps or spasms': '21', 'Lower body pain': '12', 'Stiffness all over': '7', 'Muscle cramps contractures or spasms': '7', 'Low back cramps or spasms': '7', 'Back mass or lump': '4'}"
73,Pituitary adenoma,"{'Headache': '56', 'Loss of sensation': '33', 'Diminished vision': '33', 'Knee pain': '33', 'Nausea': '33', 'Disturbance of memory': '20', 'Coryza': '20', 'Weight gain': '20', 'Pain in eye': '20', 'Nosebleed': '20', 'Long menstrual periods': '20', 'Muscle swelling': '1'}"
74,Uterine fibroids,"{'Sharp abdominal pain': '49', 'Pelvic pain': '42', 'Heavy menstrual flow': '37', 'Lower abdominal pain': '22', 'Unpredictable menstruation': '20', 'Painful menstruation': '12', 'Intermenstrual bleeding': '11', 'Long menstrual periods': '11', 'Infertility': '8', 'Vaginal discharge': '8', 'Involuntary urination': '8', 'Cramps and spasms': '6'}"
75,Idiopathic nonmenstrual bleeding,"{'Intermenstrual bleeding': '63', 'Unpredictable menstruation': '43', 'Long menstrual periods': '39', 'Pelvic pain': '34', 'Sharp abdominal pain': '34', 'Heavy menstrual flow': '34', 'Painful menstruation': '24', 'Vaginal discharge': '24', 'Painful urination': '17', 'Frequent menstruation': '17', 'Blood clots during menstrual periods': '17', 'Sweating': '17'}"
76,Chalazion,"{'Mass on eyelid': '84', 'Pain in eye': '58', 'Swollen eye': '45', 'Eye redness': '43', 'Symptoms of eye': '38', 'Eyelid swelling': '35', 'Eyelid lesion or rash': '35', 'Diminished vision': '25', 'Itchiness of eye': '25', 'Skin growth': '21', 'Foreign body sensation in eye': '16', 'Lacrimation': '12'}"
77,Ovarian torsion,"{'Sharp abdominal pain': '63', 'Lower abdominal pain': '48', 'Pelvic pain': '44', 'Ache all over': '25', 'Groin mass': '18', 'Unwanted hair': '10', 'Symptoms of bladder': '10', 'Knee swelling': '10', 'Pain or soreness of breast': '10', 'Skin swelling': '10', 'Infertility': '10', 'Acne or pimples': '10'}"
78,Retinopathy due to high blood pressure,"{'Diminished vision': '70', 'Spots or clouds in vision': '38', 'Symptoms of eye': '35', 'Pain in eye': '21', 'Itchiness of eye': '21', 'Foreign body sensation in eye': '15', 'Mass on eyelid': '15', 'Eye redness': '15', 'Blindness': '8', 'Pus draining from ear': '8', 'Lacrimation': '8', 'Irregular appearing nails': '8'}"
79,Vaginal yeast infection,"{'Vaginal itching': '79', 'Vaginal discharge': '77', 'Painful urination': '41', 'Sharp abdominal pain': '32', 'Vaginal pain': '24', 'Vaginal redness': '23', 'Itching of skin': '20', 'Problems during pregnancy': '19', 'Suprapubic pain': '19', 'Pelvic pain': '19', 'Lower abdominal pain': '17', 'Vulvar irritation': '14'}"
80,Mastoiditis,"{'Ear pain': '84', 'Dizziness': '49', 'Redness in ear': '42', 'Fluid in ear': '42', 'Cough': '42', 'Headache': '37', 'Diminished hearing': '37', 'Fever': '37', 'Plugged feeling in ear': '32', 'Ringing in ear': '32', 'Nasal congestion': '32', 'Facial pain': '26'}"
81,Lung contusion,"{'Back pain': '63', 'Sharp chest pain': '55', 'Ache all over': '44', 'Rib pain': '44', 'Elbow pain': '28', 'Hip pain': '28', 'Hurts to breath': '28', 'Fluid retention': '28', 'Dizziness': '28', 'Headache': '28', 'Shoulder pain': '28', 'Shortness of breath': '28'}"
82,Hypertrophic obstructive cardiomyopathy (HOCM),"{'Sharp chest pain': '64', 'Difficulty breathing': '36', 'Anxiety and nervousness': '36', 'Chest tightness': '36', 'Leg swelling': '36', 'Joint pain': '36', 'Cough': '36', 'Emotional symptoms': '2', 'Elbow cramps or spasms': '2', 'Nailbiting': '2', 'Muscle swelling': '2', 'Elbow weakness': '2'}"
83,Ingrown toe nail,"{'Irregular appearing nails': '87', 'Foot or toe pain': '73', 'Skin on leg or foot looks infected': '46', 'Foot or toe swelling': '32', 'Abnormal appearing skin': '26', 'Skin dryness peeling scaliness or roughness': '12', 'Skin growth': '10', 'Skin on arm or hand looks infected': '7', 'Swollen eye': '5', 'Neck swelling': '3', 'Skin irritation': '3', 'Itchy scalp': '3'}"
84,Pulmonary eosinophilia,"{'Cough': '83', 'Shortness of breath': '76', 'Fever': '74', 'Nasal congestion': '63', 'Sharp chest pain': '40', 'Difficulty breathing': '30', 'Dizziness': '30', 'Ache all over': '30', 'Nosebleed': '18', 'Redness in ear': '18', 'Fluid retention': '18', 'Paresthesia': '18'}"
85,Open wound of the hip,"{'Hip pain': '29', 'Leg pain': '29', 'Hip swelling': '6'}"
86,Corneal disorder,"{'Diminished vision': '76', 'Pain in eye': '62', 'Eye redness': '43', 'Spots or clouds in vision': '32', 'Symptoms of eye': '30', 'Foreign body sensation in eye': '27', 'Lacrimation': '24', 'Itchiness of eye': '21', 'White discharge from eye': '10', 'Swollen eye': '10', 'Double vision': '5', 'Eyelid lesion or rash': '5'}"
87,Foreign body in the gastrointestinal tract,"{'Difficulty in swallowing': '48', 'Vomiting': '32', 'Sharp abdominal pain': '26', 'Regurgitation': '10', 'Vomiting blood': '10', 'Throat feels tight': '7', 'Lump in throat': '7', 'Recent weight loss': '4', 'Cramps and spasms': '4', 'Incontinence of stool': '4', 'Foot or toe cramps or spasms': '4', 'Temper problems': '4'}"
88,Endophthalmitis,"{'Pain in eye': '86', 'Eye redness': '83', 'Swollen eye': '56', 'Diminished vision': '48', 'Itchiness of eye': '38', 'Mass on eyelid': '23', 'Paresthesia': '23', 'Painful sinuses': '23', 'Skin lesion': '23', 'Foot or toe pain': '23', 'Lacrimation': '23', 'Painful urination': '23'}"
89,Intestinal malabsorption,"{'Diarrhea': '64', 'Vomiting': '51', 'Sharp abdominal pain': '43', 'Allergic reaction': '38', 'Irritable infant': '33', 'Infant feeding problem': '33', 'Cough': '33', 'Constipation': '33', 'Nasal congestion': '27', 'Infant spitting up': '20', 'Feeling ill': '20', 'Flatulence': '20'}"
90,Lead poisoning,"{'Pain in eye': '91', 'Shoulder cramps or spasms': '91', 'Facial pain': '91', 'Ankle pain': '91', 'Wrist pain': '91', 'Pain during pregnancy': '91', 'Excessive anger': '91', 'Joint stiffness or tightness': '91', 'Pain or soreness of breast': '91', 'Knee lump or mass': '91', 'Fatigue': '91', 'Excessive urination at night': '91'}"
91,Viral warts,"{'Warts': '87', 'Skin lesion': '41', 'Skin growth': '24', 'Abnormal appearing skin': '23', 'Skin moles': '17', 'Acne or pimples': '16', 'Bumps on penis': '12', 'Skin swelling': '11', 'Skin dryness peeling scaliness or roughness': '11', 'Lip swelling': '4', 'Too little hair': '4', 'Foot or toe lump or mass': '4'}"
92,Hyperhidrosis,"{'Sweating': '88', 'Warts': '58', 'Acne or pimples': '50', 'Fever': '40', 'Skin rash': '25', 'Redness in ear': '25', 'Headache': '25', 'Diminished vision': '25', 'Sharp abdominal pain': '25', 'Cough': '25', 'Vomiting': '25', 'Cramps and spasms': '25'}"
93,Stroke,"{'Focal weakness': '46', 'Dizziness': '43', 'Headache': '37', 'Loss of sensation': '37', 'Weakness': '33', 'Problems with movement': '33', 'Slurring words': '30', 'Difficulty speaking': '29', 'Depressive or psychotic symptoms': '27', 'Seizures': '23', 'Abnormal involuntary movements': '14', 'Disturbance of memory': '13'}"
94,Pilonidal cyst,"{'Skin growth': '52', 'Lower body pain': '41', 'Ache all over': '32', 'Skin swelling': '28', 'Pain of the anus': '17', 'Bones are painful': '14', 'Back mass or lump': '14', 'Mass or swelling around the anus': '8', 'Pelvic pain': '8', 'Fluid retention': '8', 'Low back swelling': '4', 'Irregular appearing scalp': '4'}"
95,Crushing injury,"{'Hand or finger pain': '62', 'Foot or toe pain': '30', 'Loss of sensation': '22', 'Hand or finger swelling': '22', 'Hand or finger stiffness or tightness': '12', 'Ankle swelling': '8', 'Knee swelling': '8', 'Neck swelling': '4', 'Lymphedema': '4'}"
96,Normal pressure hydrocephalus,"{'Problems with movement': '65', 'Headache': '54', 'Disturbance of memory': '36', 'Depressive or psychotic symptoms': '36', 'Dizziness': '36', 'Palpitations': '22', 'Difficulty speaking': '22', 'Involuntary urination': '22', 'Fatigue': '22', 'Hip lump or mass': '22', 'Blood in urine': '22', 'Drainage in throat': '22'}"
97,Alopecia,"{'Too little hair': '94', 'Irregular appearing scalp': '28', 'Skin rash': '26', 'Skin swelling': '19', 'Abnormal appearing skin': '19', 'Dry or flaky scalp': '16', 'Acne or pimples': '16', 'Skin dryness peeling scaliness or roughness': '13', 'Itchy scalp': '13', 'Itching of skin': '13', 'Feeling ill': '10', 'Skin growth': '7'}"
98,Hashimoto thyroiditis,"{'Weight gain': '19', 'Constipation': '19', 'Heavy menstrual flow': '11', 'Premenstrual tension or irritability': '11', 'Warts': '11', 'Difficulty in swallowing': '11', 'Too little hair': '11', 'Palpitations': '11', 'Heartburn': '11', 'Suprapubic pain': '11', 'Abnormal involuntary movements': '11', 'Feeling hot': '11'}"
99,Flat feet,"{'Foot or toe pain': '74', 'Knee pain': '43', 'Ankle pain': '31', 'Problems with movement': '23', 'Cramps and spasms': '23', 'Feet turned in': '23', 'Symptoms of eye': '13', 'Foot or toe stiffness or tightness': '13', 'Skin swelling': '13', 'Weight gain': '13', 'Skin growth': '13', 'Retention of urine': '13'}"
