Year,Month,Deaths
2014,9,73526.18216923093
2014,10,86608.83911897607
2014,11,2517.8197980209816
2014,12,118635.8135874658
2015,1,44042.40739352644
2015,2,111795.09134193332
2015,3,86075.6265418647
2015,4,70396.62648620577
2015,5,18346.329745653355
2015,6,18343.49344723919
2015,7,6830.088370431574
2015,8,101854.19603158989
2015,9,70685.49110048232
2015,10,83262.69834977781
2015,11,2420.5435897106613
2015,12,114052.30760158491
2016,1,42875.361014567854
2016,2,108832.71793281935
2016,3,83794.77374072922
2016,4,68531.23962627446
2016,5,17860.184256249613
2016,6,17857.42311475783
2016,7,6649.103034424466
2016,8,99155.2388742689
2016,9,68812.4498360338
2016,10,81056.38320121689
2016,11,2356.4034393723205
2016,12,111030.12192928525
2017,1,42621.004364736524
2017,2,108187.0714619704
2017,3,83297.66403907971
2017,4,68124.68033190012
2017,5,17754.2293085759
2017,6,17751.484547463966
2017,7,6609.657452341905
2017,8,98567.00372530503
2017,9,68404.22227146511
2017,10,80575.51891015001
2017,11,2342.424154526506
2017,12,110371.43943248477
2018,1,41581.263337795775
2018,2,105547.8437276599
2018,3,81265.61434807301
2018,4,66462.77615709131
2018,5,17321.11420748942
2018,6,17318.436404929493
2018,7,6448.414606715524
2018,8,96162.45791031684
2018,9,66735.49866037957
2018,10,78609.87605337966
2018,11,2285.2806279423867
2018,12,107678.92395822702
2019,1,40546.71832422495
2019,2,102921.805299377
2019,3,79243.71964478849
2019,4,64809.17720068603
2019,5,16890.163560625337
2019,6,16887.552381998
2019,7,6287.977557878892
2019,8,93769.92859932293
2019,9,65075.11434722421
2019,10,76654.0563220796
2019,11,2228.4226710534526
2019,12,104999.86409074102
