Year,Month,Cases
2011,5,115580
2011,6,137938
2011,7,145331
2011,8,134759
2011,9,130704
2011,10,121968
2011,11,109033
2011,12,135177
2012,1,107771
2012,2,134956
2012,3,128501
2012,4,153328
2012,5,147719
2012,6,149334
2012,7,145245
2012,8,140669
2012,9,133637
2012,10,109258
2012,11,124363
2012,12,121028
2013,1,142306
2013,2,138809
2013,3,125789
2013,4,142321
2013,5,169596
2013,6,126595
2013,7,151103
2013,8,154488
2013,9,115584
2013,10,111049
2013,11,113459
2013,12,106864
2014,1,170838
2014,2,134995
2014,3,115928
2014,4,127601
2014,5,130724
2014,6,136907
2014,7,137886
2014,8,136548
2014,9,137239
2014,10,137267
2014,11,112410
2014,12,116891
2015,1,133580
2015,2,131821
2015,3,115758
2015,4,129076
2015,5,160980
2015,6,153261
2015,7,142136
2015,8,139849
2015,9,132732
2015,10,105100
2015,11,116710
2015,12,124486
2016,1,140625
2016,2,134730
2016,3,90748
2016,4,126665
2016,5,128370
2016,6,141870
2016,7,141657
2016,8,138666
2016,9,147946
2016,10,104724
2016,11,116683
2016,12,85283
2017,1,123344
2017,2,122715
2017,3,120234
2017,4,120548
2017,5,121846
2017,6,131968
2017,7,106963
2017,8,127550
2017,9,125826
2017,10,102902
2017,11,102190
2017,12,100706
2018,1,129673
2018,2,139960
2018,3,105386
2018,4,114991
2018,5,134987
2018,6,128740
2018,7,122369
2018,8,110528
2018,9,105350
2018,10,109645
2018,11,90706
2018,12,99380
2019,1,116245
2019,2,96917
2019,3,112536
2019,4,112695
2019,5,133861
2019,6,112498
2019,7,135715
2019,8,142045
2019,9,105525
2019,10,105822
2019,11,116900
2019,12,112731
